"Project Id","Project name",Website,"Short description","Long description","Social impact","Start date","End date",Country,Region,Latitude,Longitude,"Linked Organisation IDs","Who we help tags","Support tags",Focus,Technology,"Creation date"
457,"A4B MEET Lab",,,"The project is focused on Micro SME's which want to adopt emerging technologies in their field. This could be artists, designers, makers or other small companies. ",,,,,,,,533,,"Culture and arts, Finance and economy, Science","Open knowledge, Open networks","Digital fabrication and 3D-printing",1970-01-01
434,AALIANCE2,,,"profit models and business models for the implementation of Ambient Assisted Living solutions

Addressing standardisation issues in Europe and worldwide as well as initiating corresponding standardisation activities.

Enhancing the sustainable network of AALIANCE involving the major actors (technology and service providers vendors and user groups) from European Member States. 
",,,,,,,,272,,"Health and wellbeing","Open networks","Online marketplaces and noticeboards",1970-01-01
847,"Academic Writing Help",,"Our project is research-based and we have 2 months to complete it","<p>Our project is providing an Educational help for the youngster who will not able to manage their time. First, we have to research for the number of the students which will have the problem to manage the time and then teach them about it. After that, we have to prepare a report and submit it to <a href=""http://myassigment.co.uk"">myassigment.co.uk</a>. The winner team will get the scholarship of the whole year of the university</p>",,2017-03-15,2017-05-21,"United Kingdom",London,51.5073219,-0.1276473,,"assignment help, assignment writing, Best Essay Writing Service Provider","Academics, Education and skills","Open knowledge",,2017-02-21
320,"Access Space",,,"Participants address challenges of, and take opportunities provided by digital technologies to improve their lives, at whatever level they start. Key for us are three EQUALLY SIGNIFICANT levels: (1) Inclusion - engaging with digital technologies at an introductory level (2) Learning - building skills & capabilities (3) Enterprise - mobilising existing technologies and creating innovations which manifest in professional activity.",,,,,,,,294,,"Culture and arts, Education and skills, Health and wellbeing, Work and employment","Open knowledge, Open networks","Crowdsourcing, crowdmapping and crowdfunding, Digital fabrication and 3D-printing, Peer-to-peer networks, Social networks and social media",1970-01-01
431,"AccessArt Distance Learning and Online Tutorial",,,"Increase in accessibility of learning in the visual arts in niche skill sets, and growth in confidence of participants through feedback",,,,,,,,194,,"Culture and arts, Education and skills, Participation and democracy","Open knowledge","Crowdsourcing, crowdmapping and crowdfunding, Online learning and MOOCs, Peer-to-peer networks, Wearables and personal monitoring",1970-01-01
117,"Active Democracies",,,"Supports communities and government partners to build new trusted, grounded models for democratic renewal, collaboration and engagement.",,,,,,,,572,,"Neighbourhood regeneration, Participation and democracy","Open knowledge, Open networks","Crowdsourcing, crowdmapping and crowdfunding, open data, Peer-to-peer networks",1970-01-01
566,"Additive manufacturing and reverse engineering",,,"the fab lab helps to promote the use of new technologies to revitalize the area in the difficulties for the economic crisis",,,,,,,,461,,"Work and employment","Open networks","Digital fabrication and 3D-printing",1970-01-01
543,"Advisory and Supervision Services for Young Entrepreneurs",,,,,,,,,,,276,,,,"Social networks and social media",1970-01-01
422,"Advisory and Training Services within the Field of Social Entrepreneurship",,,,,,,,,,,276,,,,,1970-01-01
859,"Aff?rd?bl? Air??rt tr?n?f?r in I?t?nbul",,,,,,,,,,,,,,,,2017-03-06
609,"Afsnit I - Innovation Competition and festival",,,"The festival aims to create positive change through new ways of working through culture, technology and the arts",,,,,,,,"847, 1011",,"Culture and arts, Education and skills, Participation and democracy, Science, Work and employment","Open data, Open knowledge","big data, Crowdsourcing, crowdmapping and crowdfunding, Online learning and MOOCs",1970-01-01
520,"age research",,,"We are seeking to expand the current health-span. Life expectancy continues to rise though the diseases of ageingl, including frailty and morbidity have not been addressed. 
We use big data and a collaborative research pipeline to accelerate advances in biomedical discovery.",,,,,,,,952,,"Health and wellbeing, Science","Open hardware, Open knowledge","Artificial intelligence and machine learning, big data, Crowdsourcing, crowdmapping and crowdfunding, Mobile and web apps, Social networks and social media, Wearables and personal monitoring",1970-01-01
702,"Agenda del Henares",,,"More informed citizenship. Increased dissemination capacity for CSO, citizen groups and social movements.",,,,,,,,974,,"Participation and democracy","Open knowledge",,1970-01-01
800,"Agenda2030 Youth Action Marketplace",http://www.glocha.info/index.php/latest-news/297-youthentrepreneurship2030wsvienna2017,"creating transaction platform 4 multistakeholder sustainable development action w social entrepreneurship model & digital social currencies","<p style=""line-height: normal;""><strong><span style=""font-size: 14pt;"">5 Guiding Questions:</span></strong></p>
<ol>
<li>How can UN agencies, non-governmental actors, local and national public authorities and private sector create in a <strong>multi-stakeholder partnership framework</strong> a <strong>market</strong> for <strong>products and services of young people / social entrepreneurs who contribute to achievement of SDGs</strong>. (proposal of IAAI: ""<strong>Agenda2030 Youth Action Marketplace</strong>"" within <a href=""http://www.glocha.info/index.php/latest-news/293-gyacatcop22"">GloCha Youth Empowerment Partnership</a>)</li>
<li>How can there be introduced a new global-local <strong>digital social currency</strong> that integrates science based, transparent and participatory <strong>evaluation,</strong> and <strong>verification</strong> as well as <strong>monetary and non-monetary incentive mechanisms </strong>(incl. games) for facilitation of globally coordinated multistakeholder Agenda2030 action.</li>
<li>How can young social entrepreneurs get <strong>access to global financial resources</strong> in the field of <strong>philanthropy</strong> (e.g. <a href=""http://glasspockets.org/givingpledge/profiles.html"">The Giving Pledge</a>) and <strong>climate change</strong> action (e.g. the 100 billion US$/year of the <a href=""http://www.greenclimate.fund/home"">Green Climate Fund</a> and certified emission reductions markets) as demand side of Agenda 2030 Youth Action products and services.</li>
<li>How can <strong>science</strong> (universities, research institutes and citizen science) help to build the <strong>knowledge base</strong> for questions 1-3</li>
</ol>
<p><a href=""http://www.glocha.info/index.php/latest-news/297-youthentrepreneurship2030wsvienna2017"">http://www.glocha.info/index.php/latest-news/297-youthentrepreneurship2030wsvienna2017</a></p>
<p>&nbsp;</p>","<p>identifying, documenting, measuring and incentivizing billions of small contributions to sustainable development goals all over the world in the context of Unietd Nations Agenda2030</p>",2017-01-16,,,,,,,,"Culture and arts, Participation and democracy","Open knowledge",,2016-12-12
778,Agrostaff.eu,http://www.agrostaff.eu,,,,,,,,,,,"collaboration, european, food sharing, network","Culture and arts, Work and employment","Open data, Open networks",,1970-01-01
858,AI@home,http://wunderpeople.com,,,,,,,,,,,"Bottom Up Citizen Science, Collective intelligence, interdisciplinary, iot, Open Source Toolkit, participatory research, social innovation","Participation and democracy, Work and employment","Open data, Open knowledge","artificial intelligence, sensors and internet of things",2017-03-06
316,"Alinker One Planet Crowd crowd funding campaign",,,"We have linked, through community conversations, the dramatic reduction in active lifestyle in people with difficulty walking to the social stigma the user experiences when using traditional walking aids. We are producing a walking bike that reduces stigma, while encouraging fun activity conducive to a healthy lifestyle. AND we are working on a direct distribution model that will keep the Alinker out of the medical market (with its obscene margins). Keeping people active and connected to each other is our goal.",,,,,,,,219,,"Health and wellbeing","Open knowledge","Crowdsourcing, crowdmapping and crowdfunding, Social networks and social media",1970-01-01
228,"Alla Giornata",,,"This idea solves three different problems:

unemployment;

black job;

and (indirectly) the work rehabilitation of people.

In fact, this flexible system of matching assures at the agricultural employers the possibility to have at their disposal teams of workers for short periods of time (the agricultural jobs are seasonal, not-specialized and manually done). Then, its a secure system in which all the parts involved are sure to realize a legalized job with a voucher system. This scheme represents a smart and simple method for employees payment. Indirectly, our system, being based on not-specialized manpower, could be used as a therapy to improve the socialization at the work.",,,,,,,,1152,,"Finance and economy, Work and employment","Open networks","Mobile and web apps, Online learning and MOOCs, Online marketplaces and noticeboards",1970-01-01
482,"Ambasada Krakowian",,,"We are recreating a mental model of the way Krakow citizans think of their ability to impact changes in their surroundings. We are supporting NGOs and informal organisations to mantain their existance and execute their projects such like improving transportation system, introducing health programs, supporting artists, creating new green areas, participate in city council decisions and advisory and regenerate abandoned areas. ",,,,,,,,696,,"Culture and arts, Education and skills, Energy and environment, Health and wellbeing, Neighbourhood regeneration, Participation and democracy","Open knowledge, Open networks","Crowdsourcing, crowdmapping and crowdfunding, Digital democracy tools, Geotagging, GPS and GIS, Mobile and web apps, Social networks and social media, Wearables and personal monitoring",1970-01-01
185,"Ambient Learning City",,,"MOSI-ALONG allowed us to understand how to embed new learning contexts across cities as part of social and democratic empowerment. We are planning to embed these in an EU Social Cities programme. Contributors welcome",,,,,,,,851,,"Education and skills, Participation and democracy","Open knowledge, Open networks","Geotagging, GPS and GIS, Online learning and MOOCs, Peer-to-peer networks, sensors and internet of things, Social networks and social media",1970-01-01
303,Andaluciasostenible.com,,,"We have created a website where citizens knows which activities around sustainabilty are developing their City Halls, Regional Goverments or other citizens through Associations. We think that also its very interesting for city designers because they can see which good practices have been established in other places and apply best practices to their territories.",,,,,,,,352,,"Participation and democracy","Open data, Open knowledge, Open networks","Social networks and social media",1970-01-01
476,Apio,,,"With our innovative project we want to create a network for digital maker and artisan. The people involved can create social connected objects with Apio platform and they can start a business from that.",,,,,,,,1053,,"Education and skills, Science","Open data, Open hardware, Open knowledge, Open networks","big data, Crowdsourcing, crowdmapping and crowdfunding, Digital fabrication and 3D-printing, Online marketplaces and noticeboards, sensors and internet of things",1970-01-01
733,Appleseed,,,"The impact we are looking for revolve around empowering people to tell the stories of their local cultural and business entrepreneurship - and connect them to other stories in the EU.",,,,,,,,108,,"Culture and arts, Education and skills, Neighbourhood regeneration, Participation and democracy, Work and employment","Open data, Open knowledge","Online learning and MOOCs, Online marketplaces and noticeboards, Peer-to-peer networks, Social networks and social media",1970-01-01
143,"Apps 4 Ghent",,,"Apps 4 Ghent was one of the first hackathons co-organised by a government in Belgium. It remains one of the most prominent and most widely attended hackathons in the country, with about 5-10 teams participating annually. Many students and businesses have benefited from attending this event and have gained recognition, bootstrapped their company or developed their idea here.",,,,,,,,61,,"Education and skills, Participation and democracy","Open data","Crowdsourcing, crowdmapping and crowdfunding, Mobile and web apps, open data, sensors and internet of things, Social networks and social media",1970-01-01
503,"Apps For Ghent IV",,,"Networking between students, gov and biz ",,,,,,,,32,,"Culture and arts","Open data","open data",1970-01-01
508,Apps4Europe,,,"Creating viable businesses from open data",,,,,,,,"78, 328, 501, 515, 579, 704, 1011",,"Culture and arts, Education and skills, Energy and environment, Finance and economy, Health and wellbeing, Neighbourhood regeneration, Participation and democracy, Science, Work and employment","Open data","open data",1970-01-01
90,Apps4Finland,,,"Apps4Finland has since 2006 helped bring visibility for hacktivists and other developers and visualizers and has brought them together with the public institutions opening various data repositories.",,,,,,,,"293, 501",,"Culture and arts, Education and skills, Energy and environment, Participation and democracy","Open data, Open hardware, Open knowledge, Open networks","open data, Social networks and social media",1970-01-01
304,Apps4Warsaw,,,"The city of Warsaw opens city data on a platform specifically designed during the projects' research and development phase. Warsaw citizens engage with public open data by coming up with social apps or supporting specific apps ideas. ",,,,,,,,"484, 583",,"Participation and democracy","Open data","Crowdsourcing, crowdmapping and crowdfunding, Geotagging, GPS and GIS, Mobile and web apps, open data, Peer-to-peer networks",1970-01-01
789,"ArcheoSITAR Project",http://archeositarproject.it/,"Institute of the Ministry for Cultural Heritage and Tourism of Italy that safeguards and and promote the archaeological heritage of Rome","<p>The new ongoing season of methodological and technological enhancement of the ArcheoSITAR Project web collaborative platform, starting from results achieved during the first eight years of implementation path (2008-2016). <br /><span id=""yui_3_14_1_1_1480690273128_132"">Moving from the former specific paradigm of institutional GIS of the Special Superintendence for the Colosseum and the Central Archaeological Area of Rome (SSCol) - the territorial institute of the Italian Ministry for Cultural Heritage and Tourism, in charge of the census, protection, study and promotion of the archaeological heritage of Rome, the SITAR web platform is currently evolving towards an advanced and participatory knowledge organization system, for the benefit of both the scientific and citizen community.</span><br />Since the beginning, the ArcheoSITAR Project aims to address some critical needs, particularly: I) the SSCol archive data digitization and systematization, II) the realization of the first Digital Archaeological Cadastre of Rome metropolitan territory, and III) the dissemination of archaeological knowledge via the web platform, to grant users an easy and ubiquitous access to it.<br />In this direction, any innovation effort has been oriented to create a new collaborative place for both scientific and citizen community, ever paying attention to users&rsquo; different informational needs and to individual vs cooperative approaches to knowledge creation and sharing.<br />The project implementation is being undertaken also considering new research &amp; development approaches to archaeological knowledge management, Public Archaeology, Cultural Commons, Open and Citizen Science, and Cultural Diversity, Digital Social Innovation, and Responsible Research and Innovation.</p>
<p>See also at&nbsp;https://www.researchgate.net/project/ArcheoSITAR-Project</p>","<blockquote>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><span style=""font-family: 'trebuchet ms', sans-serif;""><strong>The Special Superintendence for the Colosseum and the Archaeological Heritage of Rome (SSCol) since the 2007 is developing a public participatory web platform, namely SITAR, with the aim to I) implement the first Digital Archaeological Cadastre of Rome and its metropolitan territory, and II) realize a new <em>social place</em>&nbsp;in which all stakeholders of Public Archaeology of Rome can access, share and personalize archaeological knowledge, and&nbsp;</strong></span><strong>produce new data, information, documents and digital reseources to be collaboratively updated and validated, on the benefit of the entire scientific and citize community.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""font-family: 'trebuchet ms', sans-serif; color: #000000;""><strong>The stakeholders of Public Archaeology of Rome are various in terms of informational needs and quantity. They can be recognized in citizen, scholars, researchers, academics, professionals, public administrations, citizens, tourists, teachers and students, and many other users' categories.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""font-family: 'trebuchet ms', sans-serif; color: #000000;""><strong>In light of their different informational needs and approaches to knowledge use and production/reproduction, the SSCol feels the importance to make the SITAR web platform more usable, accessible and suitable for public and private users, also both of elder and young age, and therefore the current development effort is focused on ergonomic as well as on smarter informational services.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""font-family: 'trebuchet ms', sans-serif; color: #000000;""><strong>In this sense, the SSCol would implement new procedures and web interfaces and tools allowing all users to freely, easily, correctly and ubiquitously access, use and produce archaeological data and knowledge. These new theoretical, methodological and technological enhancements should be addressed through an innovative approach driven by the co-creation paradigm in implementing procedures and tools with the aid of public and private users of different categories.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;"">&nbsp;</p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong><span style=""font-family: 'trebuchet ms', sans-serif;"">The specific policy area of the SSCol development initiative is the implementation of new public informational services and media for the access and use of public archeological data, information, documents and resources archivied within institutional archives, in form of analogical data and documents to be processed, digitized, georeferenced and published throughout the SITAR web platform on the benefit of public and private users.</span></strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""font-family: 'trebuchet ms', sans-serif; color: #000000;""><strong>These data</strong><strong>, information, documents and resources represent the starting point for a wider availability of public archaeological knowledge on the benefit both of the public sector and professional sector, as well as of the citizens, tourists and educational organizations.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""font-family: 'trebuchet ms', sans-serif; color: #000000;""><strong>In particular, it represents a very important aspect the free and effective availability of this knowledge with regard to its employment in cultural and creative industries' workflows and productions.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><span style=""font-family: 'trebuchet ms', sans-serif;""><strong>The procedural and applicative paradigm of the SITAR web platform should represent also a good practice to be shared and transferred into other institutional contexts such as other cultural Institutes of the&nbsp;</strong></span><strong>Italian Ministry for Cultural Heritage and Tourism, local government bodies and similar administrative organizations.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>On the base of the SITAR&nbsp;</strong><strong>web&nbsp;</strong><strong>platform, the SSCol would now promote the creation and implementation of new public, open data-based informational services to be designed, developed and realized through a strong and continuous cooperation between the same SSCol and the public aand private users, in order to activate and deliver new informational media and end-point for linked open data-based applications.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>Modalities and legal aspects have obviously to be defined with public and private users who will promote the creation of these new informational services.&nbsp;</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;"">&nbsp;</p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>The aim of the development of the SITAR web platform is properly adherent to the collaborative and social web paradigm, to allow public and private users to share, co-create and disseminate together new archaeological data and knowledge on the benefit of public, professional, academic and research, educational, citizen and tourism sectors, not last the cultural and creative industries.</strong><span style=""font-family: 'trebuchet ms', sans-serif;""><br /></span></span></p>
<p class=""gmail_default"" style=""text-align: justify;"">&nbsp;</p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>The enhancement of the SITAR web platform on the benefit of different public and private users, could allow to achieve new forms of cooperation between public and private actors and, particularly, introduce new approaches and procedures in urban and territorial planning, a competence that in the current Italian law framework is shared by central administration of ministries and local government bodies, such as Regions and Municipalities.</strong><span style=""font-family: 'trebuchet ms', sans-serif;""><br /></span></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>In this sense, the innovation and improvement of the SITAR web platform should offer both to policy makers and local communities a new place of territorial concertation and more sustainable development of the urban scenario, and its sourrondings and landscapes.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><span style=""font-family: 'trebuchet ms', sans-serif;"">The way in which the perspectives of different&nbsp;users are taken into account</span><strong> is a crucial aspect in developing and improving procedures and tools integrated in the SITAR web platform, particularly with respect to the different needs, attitudes and behavious of users of different categories, to be taken into account and constantly observed to better address issues in implementing a good, effective and widely usable collaborative <em>knowledge organization system</em>.</strong><span style=""font-family: 'trebuchet ms', sans-serif;""><br /></span></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><span style=""font-family: 'trebuchet ms', sans-serif;"">As well as the transparency of government data&nbsp;and processes, and the accountability&nbsp;of the SSCol, that&nbsp;</span><strong>is another very important topic for the enhancement of the SITAR web platform due to the need of opening institutional archive and public data on the benefit of the open science and open knowledge, and also with regard to the institutional accountability of the SSCol towards public and private organizations, as well as citizens, in the domain of knowledge, study, anlysis, safeguard and promotion of the archaeological heritage of Rome and its territory.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><span style=""font-family: 'trebuchet ms', sans-serif;"">Data protection issues represents another</span><strong> crucial aspect in developing and improving procedures and tools integrated in the SITAR web platform, particularly with respect to the sharing and dissemination of archive data as well as new data, information, documents and resources produced both by the SSCol and its professional consultants, and public and private organizations, such as academic and researchers bodies.</strong></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>Also a particula attention should be obviously paid&nbsp;</strong><span style=""font-family: 'trebuchet ms', sans-serif;""><strong>to personal data involved in the data processing workflows and via web sharing and disseminating procedures.</strong></span><span style=""font-family: 'trebuchet ms', sans-serif;""><br /></span></span></p>
<p class=""gmail_default"" style=""text-align: justify;""><span style=""color: #000000;""><strong>The SITAR web platform might offer a good case study and a solid base from which to start the development and testing of many real-life pilot use cases, based on typical informational needs and ways to access data and knowledge of different users categories.</strong></span></p>
</blockquote>",2008-01-01,,Italy,ROME,41.8523337,12.6308542,1212,"Archaeological Information System, Co-creation, Digital archiving, Digital library, GIS, Knowledge access, Knowledge organization, Open Data, Open Dataset, Public Archaeology","Culture and arts, Science","Open data, Open knowledge","Geotagging, GPS and GIS, Open-source technologies",2016-12-02
817,"Art Blast",,,,,,,,,,,,,,,,2017-01-11
151,"artist led projects",,,"engagement with and in the environment.",,,,,,,,837,,"Culture and arts","Open networks","Geotagging, GPS and GIS",1970-01-01
393,"Asili e benessere",,,"Miglioramento del benessere dei bambini",,,,,,,,75,,"Health and wellbeing","Open knowledge","Social networks and social media",1970-01-01
144,AsktheEU.org,,,"To make more citizens using their right to know, increasing democracy and public participation in decision-making. Several reports from the EU on access to documents states that since AsktheEU.org was created petition of EU documents has increased.",,,,,,,,738,,"Participation and democracy","Open knowledge","Open-source technologies",1970-01-01
834,"Assignment Writing Service",,"We Are Offering High-Quality Assignment Writing Services.","<p><img src=""http://www.assignmentace.co.uk/images/banner-2.jpg"" alt="""" width=""1366"" height=""550"" /></p>
<p>&nbsp;</p>
<p>Assignment writing is the very complicated&nbsp;task for the students because it is required for perfect English&nbsp;grammar and good writing skills. Students don't have these types of abilities because they are already busy in different works that is they do not&nbsp;complete assignments on a time.</p>
<p>Well, We are available for the students we provide all types of writing services and also best assignment assistance. Our&nbsp;<a href=""http://www.assignmentace.co.uk/"">UK Assignment Ace</a>&nbsp;company is very famous all around the world because our work is 100% original and also best quality work.&nbsp;</p>
<p>We offer free unlimited revisions&nbsp;and also we are available 24 hours for the students. Our price is very reasonable who every student is afforded it. If anyone wants to get our assignment writing services so they can visit our website.</p>",,2017-02-10,2041-02-27,"United Kingdom",London,51.5073219,-0.1276473,,"assignment help, assignment writing, online assignment assistance, professional assignment writer","Culture and arts, Education and skills, Energy and environment, Science, Work and employment","Open knowledge, Open networks",,2017-02-10
391,"Ateneus de Fabricacio",,,"Co creation
social innovation
tech education collaborative economy

this year more than 60 activities in the 2 available ateneus de fabricacio (fablabs) , conforming the network",,,,,,,,435,,"Culture and arts, Education and skills, Energy and environment, Finance and economy, Neighbourhood regeneration, Participation and democracy","Open hardware, Open knowledge, Open networks","Digital fabrication and 3D-printing, Open-source technologies, sensors and internet of things",1970-01-01
