"Organisation ID","Organisation name",Website,"Short description","Long description",Country,Region,Latitude,Longitude,Address,"Organisation type","Organisation size","Start date","Linked project IDs",Tags,"Network tags",Created
73,"Allard Pierson Museum",,,,,,,,",
",,,,,,,1970-01-01
544,"Alliance Sciences Societe",,,,,,,,",
",,,,,,,1970-01-01
548,"Alma Natura",,,,Spain,"Arroyomolinos de Leon",38.0235708,-6.4224906,"Calle Grande Trasera, 6,
21280","For-profit business","0-5 people",,583,,,1970-01-01
96,"Almere Smart Society",,,,Netherlands,Almere,52.4417588,5.2093149,"Stellingmolenstraat 43-A,
1333CE","Grassroots organisation or community network","0-5 people",,225,,,1970-01-01
651,Alphabetville,,,,France,"Marseille 13",43.2961743,5.3699525,"41 rue Jobin,
13003","Grassroots organisation or community network","0-5 people",,712,,,1970-01-01
20,Alveolus,,,,France,Paris,48.8566101,2.3514992,"12 rue Suger,
","Grassroots organisation or community network","0-5 people",,678,,,1970-01-01
523,"AMAIDI International gGmbH",,,,Germany,Roesrath,50.8963758,7.1825445,"An der Krumbach 25,
51503","Social enterprise, charity, foundation or other non-profit","51-100 people",,207,,,1970-01-01
696,"Ambasada Krakowian",,,,Poland,Krakow,50.0619474,19.9368564,"9,
31-043","Grassroots organisation or community network","0-5 people",,482,,,1970-01-01
768,"AmbITion Scotland",,,,"United Kingdom",Glasgow,55.856656,-4.2435816,"6 Dixon St,
G1 4AX","Government/Public Sector","0-5 people",,555,,,1970-01-01
626,"Amsterdam Creative Industries",,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Rhijnspoorplein 1,
1091GC","Academia/Research organisation","6-10 people",,,,,1970-01-01
1199,"Amsterdam Public Library",http://www.oba.nl/oba/english.html,,,Netherlands,Amsterdam,52.3745403,4.8979755,,"Government/Public Sector","101-500 people",1919-01-01,,,,1970-01-01
842,"Amsterdam Smart City",,,,Netherlands,Amsterdam,52.3745403,4.8979755,"De Ruijterkade 5,
1012 aa","Social enterprise, charity, foundation or other non-profit","11-25 people",,"333, 598",,,1970-01-01
502,"Anatomy Training Investigation",,,,Spain,Madrid,40.4167047,-3.7035824,"Calle Alcala 172 piso 6 c,
28028","Academia/Research organisation","0-5 people",,,,,1970-01-01
1053,"Apio s.r.l.",,,,Italy,Ancona,43.6170137,13.5170982,"Via Brecce Bianche 7,
60131","For-profit business","11-25 people",,476,,,1970-01-01
1197,Apolitical,http://www.apolitical.co,"Apolitical is a platform where public servants can find the best new ideas in their fields and connect with the people behind them.","<p>Apolitical is a social enterprise that aims to make government work better by connecting public servants to what's working elsewhere and to the people behind it. Our starting point is that lots of public servants in different countries and at different levels of government are tackling the same problems, but have no good way of exchanging information. We're building a platform to do that. At the moment we're working with the UK Cabinet Office and have helped public servants in more than 30 countries. To change the narrative around public service, we also publish articles about the most groundbreaking work, both via our own website and via the World Economic Forum, the Guardian, the Huffington Post, Fast Company and others.&nbsp;</p>","United Kingdom",London,51.5073219,-0.1276473,,"For-profit business","6-10 people",2015-10-01,,"Innovation, interdisciplinarity, research network, Social Enterprenuership, tech for good",,1970-01-01
108,Appleseed,,,,Germany,Berlin,52.5170365,13.3888599,"50 Mittelweg,
12053","Grassroots organisation or community network","6-10 people",,733,,,1970-01-01
474,"Applied Logic Laboratory",,,,Hungary,Budapest,47.4983815,19.0404707,"Hankoczy str. 7,
1022",,"11-25 people",,,,,1970-01-01
319,"Applied Research and Communications Fund (ARC Fund)",,,,Bulgaria,Sofia,42.6977211,23.3225964,"www.arcfund.net,
1113","Academia/Research organisation","26-50 people",,810,,,1970-01-01
32,"Apps For Ghent",,,,Belgium,gent,51.0538286,3.7250121,"keizer karelstraat 1,
9000","Grassroots organisation or community network","0-5 people",,503,,,1970-01-01
1209,"Architecture in Development",http://architectureindevelopment.org/,"Re-connecting sustainable development to architecture.","<p>Architecture in Development aims to systematically transform the current client-centered architectural practice towards a pr<span class=""text_exposed_show"">actice driven by the needs and aspirations of communities. <br /><br />By harnessing the potential of the internet and social media, our platform re-allocates available global resources to amplify the impact of socially- and environmentally sustainable architecture.</span></p>",Netherlands,Amsterdam,52.3745403,4.8979755,,"Social enterprise, charity, foundation or other non-profit","11-25 people",2009-12-01,,"community, cooperative housing, Crowdfunding, Cultural, Digital Social Innovation, DIY networking, education, inclusion, interdisciplinarity, not-for-profit, open knowledge, Social Good, social innovation, user-centred design, users as designers, Web",,2016-11-25
555,Arduino,,,,Italy,Torino,45.0677551,7.6824892,"via egeo 6,
","For-profit business","26-50 people",,"338, 369",,,1970-01-01
945,"Aristotle University, Informatics Department, OSWINDS Research Group",,,,Greece,Thessaloniki,40.6403167,22.9352716,"AUTH Campus,
54124","Academia/Research organisation","over-1000 people",,599,,,1970-01-01
613,"ARS ACADEMY RESEARCH",,,,Italy,Milano,45.4667971,9.1904984,"Via A. Kramer 13,
20129","Academia/Research organisation","0-5 people",,,,,1970-01-01
48,"Ars Industrialis",,,,,,,,",
",,,,,,,1970-01-01
445,"Artilect FabLab Toulouse",,,,France,Toulouse,43.6044622,1.4442469,"27bis Allee Maurice Sarraut,
31300","Grassroots organisation or community network","0-5 people",,106,,"FabLab Network",1970-01-01
395,"Arts Technology Research Lab",,,,Ireland,Dublin,53.3497645,-6.2602731,"Pearse Street,
D2","Academia/Research organisation","6-10 people",,,,,1970-01-01
625,ArtStreamingTV,,,,"United Kingdom",London,51.5073219,-0.1276473,"03 Tower Bridge Square, Queen Elizabeth Street,
SE1 2LP","For-profit business","6-10 people",,170,,,1970-01-01
181,"Ashton Centre",,,,,,,,",
",,,,,,,1970-01-01
974,"Asoc. Kyopol - Ciudad Simbiotica",,,,Spain,"Alcala de Henares",40.4818396,-3.3644972," Colegios 12, 3-2B,
28801","Social enterprise, charity, foundation or other non-profit","0-5 people",,702,,,1970-01-01
1113,"Asociacion Descubre la Electronica Orientada a Objetos",,,,Spain,Madrid,40.4167047,-3.7035824," Juan Alvarez Mendizabal 58  2 B,
28008","Social enterprise, charity, foundation or other non-profit","0-5 people",,"15, 46",,,1970-01-01
302,"Asociacion Makespace Madrid",,,,Spain,Madrid,40.4167047,-3.7035824,"San Pedro 19, 3D,
28014","Grassroots organisation or community network","0-5 people",,426,,,1970-01-01
1235,"Asociatia Techsoup",http://www.asociatiatechsoup.ro/,"We build technology-driven capacity-building programs for Romanian NGOs, youth and educators.",,Romania,Bucharest,44.4361414,26.1027202,,"Social enterprise, charity, foundation or other non-profit","6-10 people",2010-09-07,,"capacity building, digital education, education, Non-profit, Romania, Social Enterprenuership, social innovation, STEM","TechSoup Europe, TechSoup Global Network",2017-01-27
398,"Asplan Viak Internet AS",,,,Norway,Arendal,58.4275595,8.9444668,"Kystveien 14,
4844","For-profit business","11-25 people",,"313, 730",,,1970-01-01
921,"Assemblee Virtuelle",,,,France,Paris,48.8566101,2.3514992,"1 rue Jacques Louvel-Tessier,
75011","Grassroots organisation or community network","11-25 people",,568,,,1970-01-01
1248,"Assignment Writing Help Pakistan",,"Help with Academic Writing Service base in Pakistan","<p>Our writing service is reliable and we treat us every customer individually. We gladly say that we are expert in academic writing which gives you full opportunity to submit a successful paper. We provide <a href=""http://www.writers.com.pk/assignment-writing/"">assignment writing help</a> comprising of inclusive research work covering every point comprehensively. Our expert's academic writers have completed know how of the research paper, PowerPoint presentation, blog writing, article writing and other custom paper from top to bottom.</p>",Pakistan,Karachi,24.8667795,67.0311286,,"Academia/Research organisation","11-25 people",2012-02-10,,"education, writing",,2017-02-15
1122,"Associacao para a Economia Civica Portugal",,,,Portugal,Lisboa,38.7077926,-9.136506,"Av. Duarte Pacheco, 26,
1140-122","Grassroots organisation or community network","0-5 people",,141,,,1970-01-01
236,"Association Concert-Urbain",,,,France,Paris,48.8566101,2.3514992,"32, rue du Javelot,
75013","Grassroots organisation or community network","0-5 people",,439,,,1970-01-01
185,"Association Dedale",,,,France,Paris,48.8566101,2.3514992,"24 rue de l'est,
75020",,,,"103, 202",,,1970-01-01
30,"Association of Finnish eLearning Centre -Suomen eOppimiskeskus ry",,,,Finland,Hameenlinna,60.9810913,24.4582641,"The Association of Finnish eLearning Centre  Visamaentie33,
13100","Grassroots organisation or community network","0-5 people",,429,,,1970-01-01
520,"Association Pobot",,,,France,"Valbonne Sophia-Antipolis",43.6489285,7.0445147,"190 rue Frederic-Mistral,
6560","Academia/Research organisation","26-50 people",,69,,,1970-01-01
968,"Associazione ANITI - Impresa Sociale",,,,Italy,"Reggio Calabria",38.1035389,15.6397556,"Via G. Spagnolio n.30,
89128","Social enterprise, charity, foundation or other non-profit","11-25 people",,300,,,1970-01-01
993,"Associazione Verona FabLab",,,,Italy,Grezzana,45.5185311,11.0161587,"Viale del Lavoro 2,
37023","Social enterprise, charity, foundation or other non-profit","26-50 people",,671,,"FabLab Network",1970-01-01
645,Asylos,,,,"United Kingdom",London,51.5073219,-0.1276473,"Houghton St,
","Grassroots organisation or community network","0-5 people",,497,,,1970-01-01
872,"Athens Information Technology (AIT)",,,,Greece,Marousi,38.0455744,23.8052702,"44 Kifisias Avenue, Building C,
15125","Academia/Research organisation","26-50 people",,32,,,1970-01-01
1119,"Attendal -",,,,Spain,Caceres,39.4745175,-6.371676,"Plaza Noruega 5,
10005","For-profit business","0-5 people",,110,,,1970-01-01
957,"Attendal - Creative Business Innovation",,,,Spain,Caceres,39.4745175,-6.371676,"Plaza Noruega 5,
10005","For-profit business","0-5 people",,110,,,1970-01-01
323,"Audiences NI",,,,"United Kingdom",Belfast,54.5969869,-5.9300991,"121 Donegall Rd,
BT12 5JL","Social enterprise, charity, foundation or other non-profit","6-10 people",,,,,1970-01-01
313,AUEB,,,,Greece,Athens,37.9841493,23.7279843,"76 Patission Str,
10434",,,,774,,,1970-01-01
776,"Australia 3.0",,,,Australia,"South Melbourne",-37.8334602,144.9570188,"Level 1, 159 Dorcas Street,
","Grassroots organisation or community network","51-100 people",,,,,1970-01-01
1226,"Austrian institute of technology",http://www.ait.ac.at/,,,,,,,,"Academia/Research organisation",,,,"bottom-up, citizen participation, democracy, Innovation, research center, urban development",,2017-01-09
653,"Autonomous University of Barcelona",,,,,,,,",
",,,,,,,1970-01-01
799,"Avenir 84",,,,France,Avignon,43.9493143,4.8060329,"27 bis avenue trillade,
84000","Social enterprise, charity, foundation or other non-profit","11-25 people",,,,,1970-01-01
238,"Ayuntamiento de Elche",,,,Spain,Elche,38.2653181,-0.6988487,"Lago, 3,
3203","Government/Public Sector","over-1000 people",,,,,1970-01-01
429,"azahar igualdad",,,,,,,,",
",,,,,,,1970-01-01
1075,Babele,,,,Romania,Bucharest,44.4361414,26.1027202,"Str Halelor, nr 5,
30118","Social enterprise, charity, foundation or other non-profit","0-5 people",,150,,,1970-01-01
1060,"Baffle Djs",,,,Spain,Bilbao,43.2629489,-2.9349458,"Gordoniz, 41, interior, bajo,
48012","Academia/Research organisation","0-5 people",,372,,,1970-01-01
8,"Barcelona City Council",,,,Spain,Barcelona,41.3825596,2.1771353,"Tanger, 98,
8018","Government/Public Sector","6-10 people",,340,,,1970-01-01
435,"Barcelona City Hall",,,,Spain,Barcelona,41.3825596,2.1771353,"Placa Sant Jaume, 1,
8002","Government/Public Sector","over-1000 people",,391,,,1970-01-01
1166,"Barcelona Lab",,,,Spain,Barcelona,41.3825596,2.1771353,"Rambles 99,
8002","Government/Public Sector","11-25 people",,317,,,1970-01-01
767,"Barcelona Media",,,,Spain,Barcelona,41.3825596,2.1771353,"Avenida Diagonal, 177,
8018","Academia/Research organisation","26-50 people",,525,,,1970-01-01
479,"Barka UK",,,,"United Kingdom",London,51.5073219,-0.1276473,"186 Culford Road,
N1 4DS","Social enterprise, charity, foundation or other non-profit","6-10 people",,,,,1970-01-01
1203,Barnardo's,http://www.barnardos.org.uk,"Incredible things happen when you believe in children. That's why we've been believing in the UK’s most vulnerable children and young people for 150 years.","<p>At Barnardo&rsquo;s <strong>we believe in children</strong> &ndash; no matter who they are, what they have done or what they have been through. We will ensure their needs are met and their voices are heard. &nbsp;</p>
<p>This belief started with our pioneering founder, <strong>Thomas Barnardo</strong>, who stood up for the <strong>most vulnerable children in society</strong>. We continue to fight for the UK&rsquo;s most vulnerable children to realise his dream of a world where no child is turned away.</p>
<p><strong>Our vision</strong> is his vision &ndash; a world where no child is turned away.</p>
<p><strong>Our purpose</strong> is to transform the lives of the UK&rsquo;s most vulnerable children.</p>
<p><strong>Our mission</strong></p>
<ul>
<li>Reach and help those children whose voices are unheard and whose needs are unmet.</li>
<li>Defend, safeguard and support them at key moments to change their lives for the better.</li>
<li>Fight to change policy, practice and public opinion.</li>
<li>Inspire our people and partners to unite behind our purpose.</li>
<li>We value and embrace diversity, and are committed to creating a society for our staff, our volunteers and the children we work with that is free from discrimination, victimisation and harassment.</li>
</ul>","United Kingdom",London,51.5073219,-0.1276473,,"Social enterprise, charity, foundation or other non-profit","over-1000 people",,,"abuse, charity, Children, digital by default, England, FGM, i-team, Scotland, social care, social enterprise, Social Good, social work, tech for good, third sector, trafficking, UK, Wales",,2016-11-17
719,"Bartsch Law Firm",,,,Germany,Stuttgart,48.7784485,9.1800132,"Stafflenbergstrasse 24,
70184","For-profit business","26-50 people",,,,,1970-01-01
275,"Bastl Instruments",,,,"Czech Republic",Brno,49.1922443,16.6113382,"Kounicova 23,
60200","For-profit business","0-5 people",,725,,,1970-01-01
781,"BBRC SAS",,,,France,Paris,48.8566101,2.3514992,"55 avenue bugeaud,
75016","For-profit business","6-10 people",,,,,1970-01-01
493,"Be Good Be Social",,,,"United Kingdom",Glasgow,55.856656,-4.2435816,"38 Queen St,
g1 3dx","Grassroots organisation or community network","0-5 people",,479,,,1970-01-01
892,Beamrz,,,,Netherlands,Eindhoven,51.448557,5.4501225,"Torenallee 20,
5617BC","For-profit business","0-5 people",,,,,1970-01-01
1042,"Belfast Metropolitan College",,,,"United Kingdom",Belfast,54.5969869,-5.9300991,"e3 Springfield Road,
BT12 7DU","Academia/Research organisation","over-1000 people",,2,,,1970-01-01
1256,"Best flyer Designing Company",,"Flyer & Brochure Designing Company In The UAE","<p>Introduce your business in a great way to your potential customers and create a long-lasting impression. If you are searching for a custom brochure design and <a href=""http://www.essaywriting.ae/brochure-and-flyer-designing/"">flyer design company</a> then be happy, at essaywriting.ae we have got all the things to nurture the marketing needs of your business.</p>",Qatar,Doha,25.3014957,51.4996674,,"For-profit business","11-25 people",2017-02-22,,"digital design",,2017-02-22
141,"Bethnal Green Ventures",,,,"United Kingdom",London,51.5073219,-0.1276473,"1 Plough Place,
EC4A 1DE","For-profit business","0-5 people",,"110, 815",,,1970-01-01
316,"Better With Data Society",,,,"United Kingdom",Sheffield,53.3806626,-1.4702277,"The Circle, 33 Rockingham Lane,
S1 4FW","Grassroots organisation or community network","0-5 people",,600,,,1970-01-01
392,"betterplace lab",,,,Germany,Berlin,52.5170365,13.3888599,"Schlesische str. 26,
10997","Social enterprise, charity, foundation or other non-profit","6-10 people",,"226, 273",,,1970-01-01
794,bettervest,,,,Germany,Frankfurt,50.110653,8.682093,"Falkstrasse 5,
60487","For-profit business","0-5 people",,461,,,1970-01-01
1193,BeWelcome,http://www.bewelcome.org/,,"<div class=""subcolumns"">
<div class=""c50l"">
<div class=""subcl"">
<h3>The concept</h3>
<p>Imagine arriving in a city like Paris or Mumbai and, instead of trying to find a taxi, there is somebody already waiting for you. Imagine that instead of going to eat at the place recommended by the guidebook, someone shows you their favourite restaurant. Imagine the experience staying as a personal guest of your new friend rather than sleeping in an impersonal hotel room. BeWelcome makes it possible.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
</div>
</div>
</div>",,,,,,"Social enterprise, charity, foundation or other non-profit","0-5 people",,,"Activities, Cultural, Democratic, Hospitality Exchange, Non-profit, Tourism, Travel",,1970-01-01
188,Bibblio,,,,"United Kingdom",London,51.5073219,-0.1276473,"35B Beresford Rd,
N52HS","For-profit business","0-5 people",,695,,,1970-01-01
775,BIDAR,,,,Jordan,Amman,31.9515694,35.9239625,"Aljalil str.,
11910","For-profit business","0-5 people",,220,,,1970-01-01
145,"Big Bang Lab",,,,"United Kingdom",London,51.5073219,-0.1276473,"18-20 Rosendale road,
SE21 8DX","Social enterprise, charity, foundation or other non-profit","0-5 people",,163,,,1970-01-01
225,"Big Click",,,,"United Kingdom",Penrhys,51.6448998,-3.4423188,"Y Ffynnon Centre,
CF43 3NS","Social enterprise, charity, foundation or other non-profit","6-10 people",,288,,,1970-01-01
905,BikeDistrict,,,,Italy,Milano,45.4667971,9.1904984,"Via Termopili,
20127","Social enterprise, charity, foundation or other non-profit","0-5 people",,166,,,1970-01-01
298,Bilende,,,,Turkey,Istanbul,41.0096334,28.9651646,"Kurabiye Sokak,
34435","For-profit business","0-5 people",,,,,1970-01-01
655,Bio-Fab,,,,France,Montpellier,43.6112422,3.8767337,"CNRS 1919 route de Mende,
34293","Government/Public Sector","101-500 people",,212,,,1970-01-01
409,"BioCare Provider",,,,Italy,Livorno,43.5426309,10.3160295,"Via Grande 225,
57123","For-profit business","0-5 people",,,,,1970-01-01
536,"BioCity EcoSystem",,,,Spain,Barcelona,41.3825596,2.1771353,"Santiago Rus.,
8031",,,,278,,,1970-01-01
912,"Birmingham Music Archive",,,,"United Kingdom",Birmingham,52.4776875,-1.8948515,"25 Rathbone Rd, Smethwick, B67 5JG,
B67 5JG","Grassroots organisation or community network","0-5 people",,681,,,1970-01-01
1023,"Birmingham Updates",,,,"United Kingdom",Birmingham,52.4776875,-1.8948515,"Colmore Row,
","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
1025,BIS,,,,"United Kingdom",London,51.5073219,-0.1276473,"1 Victoria St,
SW1E 0ET","Government/Public Sector","over-1000 people",,,,,1970-01-01
229,BKSTS,,,,"United Kingdom","Iver Heath,Slough",51.5364266,-0.5202012,"pinewood studios,
","Academia/Research organisation","over-1000 people",,"285, 565",,,1970-01-01
656,"Blackwood Foundation",,,,"United Kingdom",Edinburgh,55.9495628,-3.1914971,"77 Craigmount Brae,
EH12 8XF","Social enterprise, charity, foundation or other non-profit","0-5 people",,475,,,1970-01-01
469,Blah,,,,Austria,test,48.7959798,15.4086873,"Testville,
",,,,,,,1970-01-01
607,"Blast Theory",,,,"United Kingdom",Brighton,50.8220399,-0.137406,"Unit 5, 20 Wellington Road,
BN41 1DN","Social enterprise, charity, foundation or other non-profit","6-10 people",,,,,1970-01-01
585,"Blender Foundation",,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Entrepotdok 57A,
1018 AD","Social enterprise, charity, foundation or other non-profit","6-10 people",,5,,,1970-01-01
446,Blistering,,,,"United Kingdom",London,51.5073219,-0.1276473,"Bliste,
e53de","Academia/Research organisation","6-10 people",,,,,1970-01-01
1037,"Bloom... crowdfunding the future",,,,"United Kingdom",London,51.5073219,-0.1276473,"East Poultry Avenue,
EC1a 9PT","For-profit business","0-5 people",,458,,,1970-01-01
539,"Bluefrozen unipesoal lda",,,,Portugal,Matosinhos,41.2223248,-8.6704323,"Avenida Serpa Pinto, n594 - 6direito,
4450 -278","For-profit business","6-10 people",,408,,,1970-01-01
538,Bluemove,,,,Spain,Madrid,40.4167047,-3.7035824,"Sagasta, 27,
28004","For-profit business","11-25 people",,362,,,1970-01-01
173,body>data>space,,,,"United Kingdom",London,51.5073219,-0.1276473,"1-5 Vyner Street,
E2 9DG","For-profit business","0-5 people",,425,,,1970-01-01
332,"Boilerhouse Media",,,,"United Kingdom",Birmingham,52.4776875,-1.8948515,"58 Oxford Street,
B5 5NR","For-profit business","11-25 people",,294,,,1970-01-01
135,Brazil,,,,,,,,",
",,,,,,,1970-01-01
427,"Break Dengue",,,,Belgium,Brussels,50.8465565,4.351697,"Avenue des Aubepines, 163,
1180","Grassroots organisation or community network","6-10 people",,,,,1970-01-01
1194,"Breathing Games",http://www.breathinggames.net,"Breathing Games is a global initiative hosted by NFPOs. It is a signatory of the United Nations Global Compact and a member of the Open Source Initiative.","<p>Please visit <a href=""http://breathinggames.net/en"" target=""_blank"">www.breathinggames.net</a></p>",,,,,,,"101-500 people",2014-01-01,773,"community, not-for-profit, open value network, research network",,1970-01-01
378,Breezie,,,,"United Kingdom",London,51.5073219,-0.1276473,"243-253 Lower Mortlake Road,
",,,,,,,1970-01-01
6,"Bretagne Creative",,,,France,Brittany,48.1618917,-2.6837114,"Brittany,
","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
812,BrightLemon,,,,"United Kingdom",London,51.5073219,-0.1276473,"12 Epworth Street,
EC2A 4DL","For-profit business","11-25 people",,"58, 723",,,1970-01-01
408,Bromford,,,,"United Kingdom",wolverhampton,52.5847651,-2.1275669,"Exchange Court,
wv106au","Government/Public Sector","over-1000 people",,627,,,1970-01-01
57,"BU Wuppertal",,,,Germany,Wuppertal,51.264018,7.1780374,"Rainer Gruenter Strasse 21,
42119",,,,466,,,1970-01-01
1087,"Building Change Trust",,,,"United Kingdom",Belfast,54.5969869,-5.9300991,"Community House, Citylink Business Park, Albert Street,
BT12 4HQ","Social enterprise, charity, foundation or other non-profit","0-5 people",,"236, 416",,,1970-01-01
305,BulliesOut,,,,"United Kingdom",Cardiff,51.4816546,-3.1791933,"Vanguard Way,
CF24 5PJ","Social enterprise, charity, foundation or other non-profit","0-5 people",,37,,,1970-01-01
965,"Bureau Europeen des Unions de Consommateurs",,,,,,,,",
",,,,,,,1970-01-01
875,"C M Solutions",,,,"United Kingdom",Sheffield,53.3806626,-1.4702277,"The Workstation, Paternoster Row,
S1 2BX","Social enterprise, charity, foundation or other non-profit","0-5 people",,178,,,1970-01-01
1051,"Call for team",,,,,,,,",
",,,,,,,1970-01-01
1138,"Call For Team",,,,France,Paris,48.8566101,2.3514992,"11, rue d'arcueil,
75014","Grassroots organisation or community network","26-50 people",,"10, 227",,,1970-01-01
464,"CAMBIO The People Agency",,,,Spain,Barcelona,41.3825596,2.1771353,"Calle Doctor Rizal 15,
8006","Social enterprise, charity, foundation or other non-profit","6-10 people",,311,,,1970-01-01
1112,CAPFERF,,,,France,"La Plaine Saint-Denis",48.9182399,2.3624012,"10 rue Cristino Garcia,
93210",,,,,,,1970-01-01
